project_id,project_type,state,district,terrain_type,land_area_hectares,estimated_cost_inr_crore,project_start_year,affected_families_count,title_dispute_rate_percent,local_protest_flag,compensation_multiplier_demand,sia_approval_status,section_11_notification_days,forest_clearance_status,fund_disbursement_percent,sia_approval_status_risk_score,forest_clearance_status_risk_score,C_r,F_r,H_r,W_r,P_r,land_area_log,project_age_years,delay_binary_label,delay_risk_tier,CRS,CRS_tier
NHAI-AP-2024-0002,Highway,Andhra Pradesh,Krishna,Rural_Agri,115.24,603.04,2024,140,18.04,False,1.54,Pending,150,Not_Required,27.91,0.5,0.0,0.54,0.6098,0.5669,0.75,0.0,2.0654,2,0,Medium,42.62,Moderate
NHAI-UP-2017-0005,Highway,Uttar Pradesh,Gautam Buddha Nagar (Noida),Rural_Agri,247.86,1264.28,2017,1198,22.46,False,2.79,Approved,447,Not_Required,68.28,0.0,0.0,1.0,0.8736,0.4713,0.6,0.0,2.396,9,1,Very_High,44.79,Moderate
MoR-UP-2022-0006,Railway,Uttar Pradesh,Mathura,Rural_Agri,628.75,4062.32,2022,1540,24.94,False,3.78,Pending,195,Not_Required,43.64,1.0,0.0,1.0,0.9045,0.4761,0.6,0.0,2.7992,4,0,High,60.33,High
MNRE-GJ-2020-0003,Renewable_Energy,Gujarat,Anand,Tribal_Schedule_V,66.3,225.88,2020,150,32.59,False,3.32,Approved,508,Approved,39.79,0.0,0.0,1.0,0.6183,0.4634,0.55,0.0,1.828,6,1,Very_High,39.32,Moderate
MoR-GJ-2023-0004,Railway,Gujarat,Kutch,Forest_Eco_Sensitive,175.63,518.25,2023,389,30.14,False,3.15,Approved,448,Stage_1_Pending,0.0,0.0,1.0,1.0,0.7352,0.5431,0.55,0.0,2.2471,3,1,Very_High,56.37,High
MNRE-TN-2020-0004,Renewable_Energy,Tamil Nadu,Tiruppur,Rural_Agri,52.22,197.51,2020,63,13.35,False,2.76,Pending,249,Not_Required,0.0,1.0,0.0,1.0,0.5125,0.3818,0.7,0.0,1.7261,6,0,High,55.47,High
MoR-AS-2022-0002,Railway,Assam,Kamrup,Forest_Eco_Sensitive,436.95,2081.49,2022,609,17.34,False,2.79,Approved,525,Approved,55.86,0.0,0.0,1.0,0.7903,0.6842,0.85,0.0,2.6414,4,1,Very_High,48.33,Moderate
MoR-GJ-2024-0005,Railway,Gujarat,Mehsana,Tribal_Schedule_V,118.59,749.69,2024,85,28.04,False,2.64,Approved,263,Not_Required,82.45,0.0,0.0,1.0,0.5489,0.5431,0.55,0.0,2.0777,2,0,High,38.11,Moderate
NHAI-TN-2020-0005,Highway,Tamil Nadu,Tirunelveli,Tribal_Schedule_V,260.03,2518.52,2020,105,37.43,False,3.11,Approved,520,Approved,8.48,0.0,0.0,1.0,0.5747,0.4794,0.7,0.0,2.4167,6,1,Very_High,41.56,Moderate
NHAI-OD-2018-0003,Highway,Odisha,Sambalpur,Tribal_Schedule_V,357.93,2349.24,2018,198,56.23,True,3.53,Pending,575,Approved,0.0,1.0,0.0,1.0,0.6523,0.6207,0.8,0.7,2.555,8,1,Very_High,70.41,High
MoR-KA-2017-0007,Railway,Karnataka,Hassan,Rural_Agri,282.2,1578.23,2017,1817,27.16,False,2.73,Pending,280,Not_Required,53.66,1.0,0.0,1.0,0.9249,0.5163,0.55,0.0,2.4521,9,0,High,59.69,High
NHAI-BR-2023-0001,Highway,Bihar,Samastipur,Rural_Agri,297.04,2921.91,2023,737,17.16,False,1.9,Approved,237,Not_Required,21.82,0.0,0.0,0.9,0.8138,0.4694,0.75,0.0,2.4743,3,0,High,44.99,Moderate
NHAI-MP-2022-0004,Highway,Madhya Pradesh,Chhindwara,Rural_Agri,199.48,1027.31,2022,300,34.55,False,1.68,Pending,340,Not_Required,0.0,1.0,0.0,1.0,0.7033,0.6087,0.5,0.0,2.3021,4,0,High,54.81,High
NHAI-TS-2023-0003,Highway,Telangana,Hyderabad,Rural_Agri,174.67,1164.76,2023,813,34.39,True,2.7,Approved,333,Not_Required,42.59,0.0,0.0,1.0,0.8258,0.5578,0.5,0.7,2.2447,3,0,High,52.45,High
NHAI-MH-2024-0003,Highway,Maharashtra,Mumbai Suburban,Urban,65.11,533.73,2024,640,16.58,False,1.69,Approved,195,Not_Required,31.49,0.0,0.0,0.69,0.7964,0.5256,0.6,0.0,1.8203,2,0,High,38.01,Moderate
NHAI-RJ-2023-0005,Highway,Rajasthan,Alwar,Urban,160.32,1230.59,2023,803,25.34,False,1.63,Approved,150,Not_Required,35.99,0.0,0.0,0.63,0.8243,0.5716,0.4,0.0,2.2077,3,0,Medium,33.45,Moderate
NHAI-HR-2022-0002,Highway,Haryana,Faridabad,Urban,147.34,849.3,2022,1433,21.58,False,2.38,Pending,130,Not_Required,28.82,0.5,0.0,1.0,0.8956,0.4126,0.5,0.0,2.1713,4,0,Medium,50.67,High
NHAI-GJ-2020-0006,Highway,Gujarat,Vadodara,Rural_Agri,239.42,1425.86,2020,467,30.48,False,2.55,Rejected,233,Not_Required,47.79,1.0,0.0,1.0,0.7576,0.5459,0.55,0.0,2.381,6,0,High,56.76,High
NHAI-MP-2025-0005,Highway,Madhya Pradesh,Shahdol,Forest_Eco_Sensitive,67.04,470.66,2025,177,18.57,True,3.91,Pending,470,Stage_1_Pending,0.0,1.0,1.0,1.0,0.6385,0.6087,0.5,0.7,1.8328,1,1,Very_High,79.17,Critical
NHAI-GJ-2024-0007,Highway,Gujarat,Anand,Tribal_Schedule_V,185.93,909.96,2024,279,32.21,False,3.08,Approved,489,Stage_1_Pending,38.05,0.0,1.0,1.0,0.6943,0.5459,0.55,0.0,2.2717,2,1,Very_High,55.65,High
MNRE-CG-2017-0002,Renewable_Energy,Chhattisgarh,Bastar,Forest_Eco_Sensitive,98.24,407.07,2017,161,14.43,False,3.53,Pending,627,Stage_1_Pending,9.18,1.0,1.0,1.0,0.6269,0.6709,0.55,0.0,1.9967,9,1,Very_High,69.47,High
MoR-AP-2021-0003,Railway,Andhra Pradesh,Guntur,Rural_Agri,262.63,1541.87,2021,943,27.15,True,2.44,Approved,464,Stage_1_Pending,0.0,0.0,1.0,1.0,0.8441,0.5713,0.75,0.7,2.421,5,1,Very_High,72.77,High
NHAI-GJ-2023-0009,Highway,Gujarat,Jamnagar,Rural_Agri,132.55,1173.77,2023,153,15.01,False,2.81,Approved,255,Not_Required,52.83,0.0,0.0,1.0,0.6207,0.5459,0.55,0.0,2.1256,3,0,High,39.36,Moderate
MNRE-TS-2022-0004,Renewable_Energy,Telangana,Mahabubnagar,Rural_Agri,31.96,95.49,2022,112,30.65,False,1.62,Exempted,106,Not_Required,66.21,0.0,0.0,0.62,0.5825,0.4843,0.5,0.0,1.518,4,0,Medium,31.04,Moderate
NHAI-WB-2022-0005,Highway,West Bengal,Paschim Bardhaman,Forest_Eco_Sensitive,345.8,2992.86,2022,432,29.94,True,2.99,Approved,665,Approved,53.8,0.0,0.0,1.0,0.7481,0.4936,0.8,0.7,2.5401,4,1,Very_High,57.09,High
MoR-TN-2023-0006,Railway,Tamil Nadu,Krishnagiri,Rural_Agri,450.6,2348.9,2023,854,18.11,False,2.14,Pending,291,Not_Required,41.83,1.0,0.0,1.0,0.8319,0.5002,0.7,0.0,2.6548,3,0,High,61.06,High
NHAI-GJ-2016-0010,Highway,Gujarat,Ahmedabad,Rural_Agri,204.05,1231.63,2016,823,21.71,False,1.95,Pending,376,Not_Required,16.48,1.0,0.0,0.95,0.8274,0.5459,0.55,0.0,2.3119,10,1,Very_High,57.1,High
NHAI-KA-2016-0009,Highway,Karnataka,Mandya,Forest_Eco_Sensitive,294.65,784.93,2016,95,75.15,False,2.43,Pending,624,Approved,15.71,1.0,0.0,1.0,0.5624,0.4867,0.55,0.0,2.4708,10,1,Very_High,53.34,High
NHAI-WB-2025-0006,Highway,West Bengal,Darjeeling,Urban,236.11,1916.45,2025,1898,21.89,False,2.18,Exempted,168,Not_Required,65.28,0.0,0.0,1.0,0.9302,0.4936,0.8,0.0,2.3749,1,0,Medium,49.78,Moderate
NHAI-WB-2023-0007,Highway,West Bengal,Bankura,Rural_Agri,156.71,1207.14,2023,385,24.64,False,2.1,Pending,343,Not_Required,24.88,1.0,0.0,1.0,0.7339,0.4936,0.8,0.0,2.1979,3,0,High,61.34,High
NHAI-MN-2022-0001,Highway,Manipur,Churachandpur,Forest_Eco_Sensitive,89.22,500.85,2022,91,31.69,False,1.99,Pending,506,Approved,25.58,1.0,0.0,0.99,0.5572,0.6528,0.7,0.0,1.9553,4,1,Very_High,56.08,High
MoR-UP-2023-0008,Railway,Uttar Pradesh,Banda,Rural_Agri,356.0,2257.17,2023,2341,38.86,True,2.68,Pending,393,Approved,44.5,1.0,0.0,1.0,0.9561,0.4761,0.6,0.7,2.5527,3,1,Very_High,71.73,High
MoR-RJ-2017-0006,Railway,Rajasthan,Sri Ganganagar,Forest_Eco_Sensitive,165.3,693.17,2017,185,18.85,True,3.66,Approved,730,Stage_1_Pending,0.0,0.0,1.0,1.0,0.6439,0.5826,0.4,0.7,2.2209,9,1,Very_High,62.27,High
NHAI-CG-2025-0003,Highway,Chhattisgarh,Janjgir-Champa,Forest_Eco_Sensitive,164.91,1223.92,2025,105,16.13,False,2.81,Pending,730,Stage_1_Pending,18.83,1.0,1.0,1.0,0.5747,0.6694,0.55,0.0,2.2199,1,1,Very_High,68.56,High
NHAI-TN-2018-0007,Highway,Tamil Nadu,Vellore,Rural_Agri,198.36,1378.4,2018,1332,47.85,False,2.5,Approved,441,Not_Required,53.53,0.0,0.0,1.0,0.8866,0.4794,0.7,0.0,2.2996,8,1,Very_High,47.02,Moderate
MoR-MH-2026-0004,Railway,Maharashtra,Sangli,Urban,292.84,1628.16,2026,5377,15.68,True,2.22,Rejected,222,Not_Required,0.0,1.0,0.0,1.0,1.0,0.5481,0.6,0.7,2.4681,0,0,High,72.5,High
NHAI-TN-2022-0008,Highway,Tamil Nadu,Chengalpattu,Rural_Agri,154.69,1182.79,2022,568,12.59,False,2.58,Approved,392,Not_Required,50.41,0.0,0.0,1.0,0.7817,0.4794,0.7,0.0,2.1923,4,1,Very_High,45.18,Moderate
NHAI-UP-2025-0009,Highway,Uttar Pradesh,Muzaffarnagar,Rural_Agri,82.53,664.58,2025,394,12.27,False,2.17,Approved,266,Not_Required,59.97,0.0,0.0,1.0,0.7367,0.4713,0.6,0.0,1.9218,1,0,High,42.39,Moderate
NHAI-JH-2022-0002,Highway,Jharkhand,West Singhbhum,Tribal_Schedule_V,360.11,2570.93,2022,734,22.18,False,2.97,Approved,661,Approved,47.63,0.0,0.0,1.0,0.8133,0.6928,0.55,0.0,2.5576,4,1,Very_High,42.73,Moderate
NHAI-RJ-2019-0007,Highway,Rajasthan,Ajmer,Rural_Agri,191.21,945.64,2019,1303,18.84,False,2.23,Exempted,275,Not_Required,25.91,0.0,0.0,1.0,0.8839,0.5716,0.4,0.0,2.2838,7,0,High,40.97,Moderate
MNRE-GJ-2025-0012,Renewable_Energy,Gujarat,Valsad,Tribal_Schedule_V,37.75,170.53,2025,54,41.69,True,3.51,Pending,670,Approved,17.21,1.0,0.0,1.0,0.4938,0.4634,0.55,0.7,1.5883,1,1,Very_High,62.64,High
NHAI-TN-2021-0009,Highway,Tamil Nadu,Salem,Rural_Agri,313.84,2822.44,2021,681,38.01,False,1.87,Exempted,391,Not_Required,2.55,0.0,0.0,0.87,0.804,0.4794,0.7,0.0,2.4981,5,1,Very_High,43.3,Moderate
NHAI-MH-2024-0005,Highway,Maharashtra,Ratnagiri,Tribal_Schedule_V,377.47,2809.46,2024,565,47.43,True,2.88,Pending,650,Approved,0.0,1.0,0.0,1.0,0.7811,0.5256,0.6,0.7,2.578,2,1,Very_High,68.67,High
MoR-UP-2019-0010,Railway,Uttar Pradesh,Muzaffarnagar,Urban,401.08,2616.23,2019,1434,20.19,False,1.66,Rejected,198,Not_Required,23.81,1.0,0.0,0.66,0.8957,0.4761,0.6,0.0,2.6043,7,0,High,54.22,High
MoR-UP-2025-0011,Railway,Uttar Pradesh,Varanasi,Urban,427.96,1740.28,2025,2479,23.47,False,1.7,Pending,131,Not_Required,69.29,0.5,0.0,0.7,0.9631,0.4761,0.6,0.0,2.6324,1,0,Medium,48.6,Moderate
NHAI-OD-2023-0004,Highway,Odisha,Jagatsinghpur,Urban,150.44,939.92,2023,1505,18.93,False,2.26,Approved,132,Not_Required,60.26,0.0,0.0,1.0,0.9017,0.6207,0.8,0.0,2.1802,3,0,Medium,49.28,Moderate
MoR-TN-2022-0010,Railway,Tamil Nadu,Cuddalore,Rural_Agri,176.46,899.07,2022,256,25.91,True,2.03,Exempted,329,Stage_1_Pending,47.44,0.0,1.0,1.0,0.6838,0.5002,0.7,0.7,2.2491,4,0,High,68.97,High
NHAI-BR-2025-0002,Highway,Bihar,Purba Champaran,Rural_Agri,256.01,1440.82,2025,397,43.91,False,2.59,Pending,203,Not_Required,38.84,1.0,0.0,1.0,0.7377,0.4694,0.75,0.0,2.41,1,0,High,60.41,High
NHAI-WB-2026-0008,Highway,West Bengal,North 24 Parganas,Rural_Agri,282.02,1499.61,2026,2335,30.75,True,3.71,Approved,269,Not_Required,20.27,0.0,0.0,1.0,0.9558,0.4936,0.8,0.7,2.4518,0,0,High,60.73,High
MNRE-MH-2023-0006,Renewable_Energy,Maharashtra,Nanded,Forest_Eco_Sensitive,29.8,138.52,2023,10,38.75,False,2.85,Exempted,661,Stage_1_Pending,32.93,0.0,1.0,1.0,0.2955,0.4653,0.6,0.0,1.4886,3,1,Very_High,49.67,Moderate
NHAI-UP-2021-0013,Highway,Uttar Pradesh,Mirzapur,Rural_Agri,142.42,1162.23,2021,767,28.49,False,2.05,Approved,319,Stage_1_Pending,61.56,0.0,1.0,1.0,0.8187,0.4713,0.6,0.0,2.1566,5,0,High,58.83,High
MNRE-WB-2023-0009,Renewable_Energy,West Bengal,Birbhum,Rural_Agri,24.38,102.46,2023,47,17.15,False,1.89,Approved,386,Stage_1_Pending,0.0,0.0,1.0,1.0,0.477,0.4149,0.8,0.0,1.4045,3,1,Very_High,56.85,High
MoR-RJ-2019-0008,Railway,Rajasthan,Jodhpur,Rural_Agri,405.31,2017.93,2019,1288,51.12,False,2.52,Pending,351,Not_Required,31.1,1.0,0.0,1.0,0.8825,0.5826,0.4,0.0,2.6089,7,0,High,55.94,High
MoR-AP-2024-0004,Railway,Andhra Pradesh,Annamayya,Rural_Agri,432.27,2834.12,2024,1558,31.74,True,2.58,Approved,328,Not_Required,23.17,0.0,0.0,1.0,0.9059,0.5713,0.75,0.7,2.6368,2,0,High,58.85,High
MoR-AP-2015-0005,Railway,Andhra Pradesh,Annamayya,Rural_Agri,333.49,1661.36,2015,1325,28.28,False,1.88,Exempted,289,Not_Required,65.33,0.0,0.0,0.88,0.886,0.5713,0.75,0.0,2.5244,11,0,High,45.9,Moderate
NHAI-RJ-2021-0009,Highway,Rajasthan,Bharatpur,Rural_Agri,83.54,651.03,2021,236,31.92,False,1.66,Approved,190,Not_Required,80.6,0.0,0.0,0.66,0.6738,0.5716,0.4,0.0,1.9271,5,0,High,31.34,Moderate
MoR-TN-2020-0011,Railway,Tamil Nadu,Dindigul,Tribal_Schedule_V,325.09,2643.31,2020,875,42.77,True,2.91,Pending,730,Stage_1_Pending,0.0,1.0,1.0,1.0,0.8349,0.5002,0.7,0.7,2.5133,6,1,Very_High,86.61,Critical
NHAI-PB-2017-0002,Highway,Punjab,Rupnagar,Rural_Agri,190.22,1884.86,2017,739,26.69,False,1.95,Pending,315,Not_Required,34.25,1.0,0.0,0.95,0.8141,0.4404,0.5,0.0,2.2815,9,0,High,55.87,High
MNRE-WB-2020-0010,Renewable_Energy,West Bengal,Jalpaiguri,Rural_Agri,17.89,71.67,2020,40,11.49,False,2.43,Approved,344,Not_Required,56.53,0.0,0.0,1.0,0.4576,0.4149,0.8,0.0,1.2762,6,0,High,41.51,Moderate
MoR-BR-2019-0003,Railway,Bihar,Madhubani,Urban,205.06,1725.41,2019,2368,15.68,False,2.4,Exempted,188,Not_Required,76.56,0.0,0.0,1.0,0.9575,0.4749,0.75,0.0,2.314,7,0,High,49.26,Moderate
NHAI-DL-2023-0001,Highway,Delhi,South West Delhi,Urban,254.47,1350.8,2023,2917,16.77,False,2.38,Pending,177,Not_Required,60.99,0.5,0.0,1.0,0.9832,0.2728,0.5,0.0,2.4073,3,0,Medium,52.21,High
NHAI-MH-2024-0007,Highway,Maharashtra,Kolhapur,Rural_Agri,155.72,829.07,2024,388,22.01,False,1.96,Approved,338,Not_Required,46.01,0.0,0.0,0.96,0.7349,0.5256,0.6,0.0,2.1951,2,0,High,41.66,Moderate
MoR-GJ-2021-0013,Railway,Gujarat,Kutch,Urban,191.45,944.04,2021,693,6.87,False,2.09,Pending,186,Not_Required,20.72,1.0,0.0,1.0,0.8062,0.5431,0.55,0.0,2.2843,5,0,High,57.61,High
NHAI-KA-2021-0011,Highway,Karnataka,Mandya,Urban,119.19,598.44,2021,683,7.93,False,1.41,Approved,124,Not_Required,37.48,0.0,0.0,0.41,0.8044,0.4867,0.55,0.0,2.0799,5,0,Medium,32.25,Moderate
NHAI-UP-2017-0014,Highway,Uttar Pradesh,Moradabad,Rural_Agri,288.88,528.92,2017,638,25.84,False,2.52,Pending,357,Not_Required,50.12,1.0,0.0,1.0,0.796,0.4713,0.6,0.0,2.4622,9,0,High,58.43,High
NHAI-TS-2020-0006,Highway,Telangana,Nalgonda,Rural_Agri,142.55,638.91,2020,282,29.17,False,2.79,Exempted,179,Not_Required,45.5,0.0,0.0,1.0,0.6957,0.5578,0.5,0.0,2.157,6,0,Medium,39.67,Moderate
